id;cursusnaam;tekst;datum;locatie
013Rot7-10-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 7, 14 oktober in Rotterdam;7-10-2019;Rotterdam
013Ein8-10-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 8, 15 oktober in Eindhoven;8-10-2019;Eindhoven
013Ape4-11-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 4, 11 november in Apeldoorn;4-11-2019;Apeldoorn
013Ams5-11-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 5, 12 november in Amsterdam;5-11-2019;Amsterdam
013Rot2-12-2019;AutoCAD voor MicroStation kenners;AutoCAD voor MicroStation kenners: 2, 9 december in Rotterdam;2-12-2019;Rotterdam
014Ape7-1-2019;ArchiCAD Basis;ArchiCAD Basis: 7, 8, 9, 14 januari in Apeldoorn;7-1-2019;Apeldoorn
014Rot3-2-2019;ArchiCAD Basis;ArchiCAD Basis: 3, 4, 5, 10 februari in Rotterdam;3-2-2019;Rotterdam
014Ape3-3-2019;ArchiCAD Basis;ArchiCAD Basis: 3, 4, 5, 10 maart in Apeldoorn;3-3-2019;Apeldoorn
014Ams4-3-2019;ArchiCAD Basis;ArchiCAD Basis: 4, 5, 6, 11 maart in Amsterdam;4-3-2019;Amsterdam
014Rot7-4-2019;ArchiCAD Basis;ArchiCAD Basis: 7, 8, 9, 14 april in Rotterdam;7-4-2019;Rotterdam
014Ein8-4-2019;ArchiCAD Basis;ArchiCAD Basis: 8, 9, 10, 15 april in Eindhoven;8-4-2019;Eindhoven
014Ape5-5-2019;ArchiCAD Basis;ArchiCAD Basis: 5, 6, 7, 12 mei in Apeldoorn;5-5-2019;Apeldoorn
014Ams6-5-2019;ArchiCAD Basis;ArchiCAD Basis: 6, 7, 8, 13 mei in Amsterdam;6-5-2019;Amsterdam
014Rot2-6-2019;ArchiCAD Basis;ArchiCAD Basis: 2, 3, 4, 9 juni in Rotterdam;2-6-2019;Rotterdam
014Ein3-6-2019;ArchiCAD Basis;ArchiCAD Basis: 3, 4, 5, 10 juni in Eindhoven;3-6-2019;Eindhoven
014Ape01-07-2019;ArchiCAD Basis;ArchiCAD Basis: 1, 1, 2, 7 juli in Apeldoorn;1-7-2019;Apeldoorn
014Rot4-8-2019;ArchiCAD Basis;ArchiCAD Basis: 4, 5, 6, 11 augustus in Rotterdam;4-8-2019;Rotterdam
014Ape1-9-2019;ArchiCAD Basis;ArchiCAD Basis: 1, 2, 3, 8 september in Apeldoorn;1-9-2019;Apeldoorn
018Ape8-1-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 8, 9 januari in Apeldoorn;8-1-2019;Apeldoorn
018Rot5-2-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 5, 6 februari in Rotterdam;5-2-2019;Rotterdam
018Ape5-3-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 5, 6 maart in Apeldoorn;5-3-2019;Apeldoorn
018Ams4-3-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 4, 5 maart in Amsterdam;4-3-2019;Amsterdam
018Rot9-4-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 9, 10 april in Rotterdam;9-4-2019;Rotterdam
018Ein8-4-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 8, 9 april in Eindhoven;8-4-2019;Eindhoven
018Ape14-5-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 14, 15 mei in Apeldoorn;14-5-2019;Apeldoorn
018Ams13-5-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 13, 14 mei in Amsterdam;13-5-2019;Amsterdam
018Rot11-6-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 11, 12 juni in Rotterdam;11-6-2019;Rotterdam
018Ein10-6-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 10, 11 juni in Eindhoven;10-6-2019;Eindhoven
018Ape9-7-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 9, 10 juli in Apeldoorn;9-7-2019;Apeldoorn
018Rot13-8-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 13, 14 augustus in Rotterdam;13-8-2019;Rotterdam
018Ape10-9-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 10, 11 september in Apeldoorn;10-9-2019;Apeldoorn
018Ams9-9-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 9, 10 september in Amsterdam;9-9-2019;Amsterdam
018Rot8-10-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 8, 9 oktober in Rotterdam;8-10-2019;Rotterdam
018Ein7-10-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 7, 8 oktober in Eindhoven;7-10-2019;Eindhoven
018Ape12-11-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 12, 13 november in Apeldoorn;12-11-2019;Apeldoorn
018Ams11-11-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 11, 12 november in Amsterdam;11-11-2019;Amsterdam
018Rot10-12-2019;BricsCAD Snel aan de slag;BricsCAD Snel aan de slag: 10, 11 december in Rotterdam;10-12-2019;Rotterdam
023Ape7-1-2019;MicroStation 2D Basis;MicroStation 2D Basis: 7, 14, 21 januari in Apeldoorn;7-1-2019;Apeldoorn
023Rot4-2-2019;MicroStation 2D Basis;MicroStation 2D Basis: 4, 11, 18 februari in Rotterdam;4-2-2019;Rotterdam
023Ape4-3-2019;MicroStation 2D Basis;MicroStation 2D Basis: 4, 11, 18 maart in Apeldoorn;4-3-2019;Apeldoorn
023Ams5-3-2019;MicroStation 2D Basis;MicroStation 2D Basis: 5, 12, 19 maart in Amsterdam;5-3-2019;Amsterdam
023Rot8-4-2019;MicroStation 2D Basis;MicroStation 2D Basis: 8, 15, 22 april in Rotterdam;8-4-2019;Rotterdam
023Ein9-4-2019;MicroStation 2D Basis;MicroStation 2D Basis: 9, 16, 23 april in Eindhoven;9-4-2019;Eindhoven
023Ape6-5-2019;MicroStation 2D Basis;MicroStation 2D Basis: 6, 13, 20 mei in Apeldoorn;6-5-2019;Apeldoorn
023Ams7-5-2019;MicroStation 2D Basis;MicroStation 2D Basis: 7, 14, 21 mei in Amsterdam;7-5-2019;Amsterdam
023Rot3-6-2019;MicroStation 2D Basis;MicroStation 2D Basis: 3, 10, 17 juni in Rotterdam;3-6-2019;Rotterdam
023Ein4-6-2019;MicroStation 2D Basis;MicroStation 2D Basis: 4, 11, 18 juni in Eindhoven;4-6-2019;Eindhoven
023Ape1-7-2019;MicroStation 2D Basis;MicroStation 2D Basis: 1, 8, 15 juli in Apeldoorn;1-7-2019;Apeldoorn
023Rot5-8-2019;MicroStation 2D Basis;MicroStation 2D Basis: 5, 12, 19 augustus in Rotterdam;5-8-2019;Rotterdam
023Ape2-9-2019;MicroStation 2D Basis;MicroStation 2D Basis: 2, 9, 16 september in Apeldoorn;2-9-2019;Apeldoorn
023Ams3-9-2019;MicroStation 2D Basis;MicroStation 2D Basis: 3, 10, 17 september in Amsterdam;3-9-2019;Amsterdam
023Rot7-10-2019;MicroStation 2D Basis;MicroStation 2D Basis: 7, 14, 21 oktober in Rotterdam;7-10-2019;Rotterdam
023Ein8-10-2019;MicroStation 2D Basis;MicroStation 2D Basis: 8, 15, 22 oktober in Eindhoven;8-10-2019;Eindhoven
023Ape4-11-2019;MicroStation 2D Basis;MicroStation 2D Basis: 4, 11, 18 november in Apeldoorn;4-11-2019;Apeldoorn
023Ams5-11-2019;MicroStation 2D Basis;MicroStation 2D Basis: 5, 12, 19 november in Amsterdam;5-11-2019;Amsterdam
023Rot2-12-2019;MicroStation 2D Basis;MicroStation 2D Basis: 2, 9, 16 december in Rotterdam;2-12-2019;Rotterdam
025Ape8-1-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 8, 9 januari in Apeldoorn;8-1-2019;Apeldoorn
025Rot5-2-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 5, 6 februari in Rotterdam;5-2-2019;Rotterdam
025Ape5-3-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 5, 6 maart in Apeldoorn;5-3-2019;Apeldoorn
025Ams6-3-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 6, 7 maart in Amsterdam;6-3-2019;Amsterdam
025Rot9-4-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 9, 10 april in Rotterdam;9-4-2019;Rotterdam
025Ein8-4-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 8, 9 april in Eindhoven;8-4-2019;Eindhoven
025Ape14-5-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 14, 15 mei in Apeldoorn;14-5-2019;Apeldoorn
025Ams13-5-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 13, 14 mei in Amsterdam;13-5-2019;Amsterdam
025Rot11-6-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 11, 12 juni in Rotterdam;11-6-2019;Rotterdam
025Ein10-6-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 10, 11 juni in Eindhoven;10-6-2019;Eindhoven
025Ape9-7-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 9, 10 juli in Apeldoorn;9-7-2019;Apeldoorn
025Rot13-8-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 13, 14 augustus in Rotterdam;13-8-2019;Rotterdam
025Ape10-9-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 10, 11 september in Apeldoorn;10-9-2019;Apeldoorn
025Ams9-9-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 9, 10 september in Amsterdam;9-9-2019;Amsterdam
025Rot8-10-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 8, 9 oktober in Rotterdam;8-10-2019;Rotterdam
025Ein7-10-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 7, 8 oktober in Eindhoven;7-10-2019;Eindhoven
025Ape12-11-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 12, 13 november in Apeldoorn;12-11-2019;Apeldoorn
025Ams11-11-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 11, 12 november in Amsterdam;11-11-2019;Amsterdam
025Rot10-12-2019;MicroStation 2D Snel aan de slag;MicroStation 2D Snel aan de slag: 10, 11 december in Rotterdam;10-12-2019;Rotterdam
033Ape7-1-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 7, 14 januari in Apeldoorn;7-1-2019;Apeldoorn
033Rot4-2-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 4, 11 februari in Rotterdam;4-2-2019;Rotterdam
033Ape4-3-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 4, 11 maart in Apeldoorn;4-3-2019;Apeldoorn
033Ams5-3-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 5, 12 maart in Amsterdam;5-3-2019;Amsterdam
033Rot8-4-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 8, 15 april in Rotterdam;8-4-2019;Rotterdam
033Ein9-4-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 9, 16 april in Eindhoven;9-4-2019;Eindhoven
033Ape6-5-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 6, 13 mei in Apeldoorn;6-5-2019;Apeldoorn
033Ams7-5-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 7, 14 mei in Amsterdam;7-5-2019;Amsterdam
033Rot3-6-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 3, 10 juni in Rotterdam;3-6-2019;Rotterdam
033Ein4-6-2019;MicroStation voor AutoCAD kenners;MicroStation voor AutoCAD kenners: 4, 11 juni in Eindhoven;4-6-2019;Eindhoven
